Date_Time,4000012345,4000123456,4001234567,4012345678,Time,Date
2014-01-01 00:00:00,66.5137,53.5573,7.756,10.0,00:00:00,2014-01-01
2014-01-01 00:15:00,66.1903,54.6907,8.112,10.2,00:15:00,2014-01-01
2014-01-01 00:30:00,61.7178,54.5893,7.643,10.56,00:30:00,2014-01-01
2014-01-01 00:45:00,61.5962,52.7283,7.36,10.52,00:45:00,2014-01-01
2014-01-01 01:00:00,64.7847,52.4911,7.55,10.36,01:00:00,2014-01-01
2014-01-01 01:15:00,67.5146,53.7523,7.68,10.24,01:15:00,2014-01-01
2014-01-01 01:30:00,67.4995,54.8953,7.669,10.24,01:30:00,2014-01-01
2014-01-01 01:45:00,65.5551,53.7319,7.784,10.52,01:45:00,2014-01-01
2014-01-01 02:00:00,61.7785,52.8837,7.947,10.52,02:00:00,2014-01-01
2014-01-01 02:15:00,62.1923,53.8251,7.962,10.96,02:15:00,2014-01-01
2014-01-01 02:30:00,66.3881,54.6624,8.016,10.56,02:30:00,2014-01-01
2014-01-01 02:45:00,67.373,53.01,8.117,10.56,02:45:00,2014-01-01
2014-01-01 03:00:00,67.2287,53.102,8.166,10.92,03:00:00,2014-01-01
2014-01-01 03:15:00,62.7312,53.7506,8.013,10.52,03:15:00,2014-01-01
2014-01-01 03:30:00,61.713,54.16,7.826,10.2,03:30:00,2014-01-01
2014-01-01 03:45:00,63.9127,52.7567,7.595,10.2,03:45:00,2014-01-01
2014-01-01 04:00:00,67.8052,55.1965,7.641,10.08,04:00:00,2014-01-01
2014-01-01 04:15:00,69.4067,56.1451,7.71,9.92,04:15:00,2014-01-01
2014-01-01 04:30:00,65.5864,56.9057,7.44,10.4,04:30:00,2014-01-01
2014-01-01 04:45:00,61.2143,54.2008,7.989,11.4,04:45:00,2014-01-01
2014-01-01 05:00:00,69.6232,57.8159,12.371,15.44,05:00:00,2014-01-01
2014-01-01 05:15:00,69.7926,57.6348,10.779,14.08,05:15:00,2014-01-01
2014-01-01 05:30:00,70.8455,59.7613,13.081,15.44,05:30:00,2014-01-01
2014-01-01 05:45:00,71.5195,58.6366,13.93,17.4,05:45:00,2014-01-01
2014-01-01 06:00:00,72.4965,58.2542,15.149,16.6,06:00:00,2014-01-01
2014-01-01 06:15:00,72.2356,59.2276,14.389,16.24,06:15:00,2014-01-01
2014-01-01 06:30:00,72.5977,59.4292,13.937,15.56,06:30:00,2014-01-01
2014-01-01 06:45:00,72.7705,58.7848,13.943,15.8,06:45:00,2014-01-01
2014-01-01 07:00:00,71.8787,59.0076,14.12,16.16,07:00:00,2014-01-01
2014-01-01 07:15:00,73.1574,59.2949,13.798,16.08,07:15:00,2014-01-01
2014-01-01 07:30:00,72.3455,60.4724,13.687,15.84,07:30:00,2014-01-01
2014-01-01 07:45:00,73.2949,58.7488,13.666,15.88,07:45:00,2014-01-01
2014-01-01 08:00:00,74.8159,57.8903,13.405,15.84,08:00:00,2014-01-01
2014-01-01 08:15:00,71.7568,58.043,13.425,15.8,08:15:00,2014-01-01
2014-01-01 08:30:00,71.6272,60.7747,13.314,15.56,08:30:00,2014-01-01
2014-01-01 08:45:00,71.6192,59.6144,13.386,15.36,08:45:00,2014-01-01
2014-01-01 09:00:00,68.905,58.5681,11.384,13.6,09:00:00,2014-01-01
2014-01-01 09:15:00,69.4976,58.1022,11.011,13.2,09:15:00,2014-01-01
2014-01-01 09:30:00,68.4674,59.6463,10.981,13.04,09:30:00,2014-01-01
2014-01-01 09:45:00,68.7709,58.2057,11.147,13.08,09:45:00,2014-01-01
2014-01-01 10:00:00,71.4482,57.3992,11.038,13.16,10:00:00,2014-01-01
2014-01-01 10:15:00,72.5718,56.7492,11.176,13.12,10:15:00,2014-01-01
2014-01-01 10:30:00,69.8838,59.3209,11.276,13.16,10:30:00,2014-01-01
2014-01-01 10:45:00,69.571,58.3752,11.363,13.24,10:45:00,2014-01-01
2014-01-01 11:00:00,69.6687,57.3676,11.618,13.12,11:00:00,2014-01-01
2014-01-01 11:15:00,68.2954,57.4476,11.787,13.16,11:15:00,2014-01-01
2014-01-01 11:30:00,69.1072,58.9305,11.423,13.2,11:30:00,2014-01-01
2014-01-01 11:45:00,69.5943,59.8664,11.383,13.32,11:45:00,2014-01-01
2014-01-01 12:00:00,73.1814,58.1866,11.563,13.28,12:00:00,2014-01-01
2014-01-01 12:15:00,71.2331,58.5875,11.415,13.52,12:15:00,2014-01-01
2014-01-01 12:30:00,69.4401,59.7429,11.365,13.6,12:30:00,2014-01-01
2014-01-01 12:45:00,68.5377,59.6653,11.505,12.96,12:45:00,2014-01-01
2014-01-01 13:00:00,69.1902,57.8692,11.558,13.24,13:00:00,2014-01-01
2014-01-01 13:15:00,68.8356,56.6913,11.43,13.16,13:15:00,2014-01-01
2014-01-01 13:30:00,69.1236,58.6054,11.251,13.04,13:30:00,2014-01-01
2014-01-01 13:45:00,72.268,59.4001,11.344,13.2,13:45:00,2014-01-01
