Date_Time,4000012345,4000123456,4001234567,4012345678,Time,Date
2014-01-01 00:00:00,60.038,49.851,7.756,10.0,00:00:00,2014-01-01
2014-01-01 00:15:00,59.63,50.969,8.112,10.2,00:15:00,2014-01-01
2014-01-01 00:30:00,55.954,50.72,7.643,10.56,00:30:00,2014-01-01
2014-01-01 00:45:00,56.094,48.777,7.36,10.52,00:45:00,2014-01-01
2014-01-01 01:00:00,58.664,48.629,7.55,10.36,01:00:00,2014-01-01
2014-01-01 01:15:00,60.751,49.964,7.68,10.24,01:15:00,2014-01-01
2014-01-01 01:30:00,60.65,51.027,7.669,10.24,01:30:00,2014-01-01
2014-01-01 01:45:00,59.058,49.457,7.784,10.52,01:45:00,2014-01-01
2014-01-01 02:00:00,56.483,49.008,7.947,10.52,02:00:00,2014-01-01
2014-01-01 02:15:00,56.923,50.249,7.962,10.96,02:15:00,2014-01-01
2014-01-01 02:30:00,60.324,51.129,8.016,10.56,02:30:00,2014-01-01
2014-01-01 02:45:00,61.014,49.263,8.117,10.56,02:45:00,2014-01-01
2014-01-01 03:00:00,60.976,49.327,8.166,10.92,03:00:00,2014-01-01
2014-01-01 03:15:00,57.358,50.091,8.013,10.52,03:15:00,2014-01-01
2014-01-01 03:30:00,56.53,50.633,7.826,10.2,03:30:00,2014-01-01
2014-01-01 03:45:00,58.16,48.953,7.595,10.2,03:45:00,2014-01-01
2014-01-01 04:00:00,61.208,51.345,7.641,10.08,04:00:00,2014-01-01
2014-01-01 04:15:00,62.616,52.527,7.71,9.92,04:15:00,2014-01-01
2014-01-01 04:30:00,59.562,53.026,7.44,10.4,04:30:00,2014-01-01
2014-01-01 04:45:00,56.178,50.324,7.989,11.4,04:45:00,2014-01-01
2014-01-01 05:00:00,63.134,53.513,12.371,15.44,05:00:00,2014-01-01
2014-01-01 05:15:00,63.344,53.645,10.779,14.08,05:15:00,2014-01-01
2014-01-01 05:30:00,64.313,55.778,13.081,15.44,05:30:00,2014-01-01
2014-01-01 05:45:00,64.61,54.334,13.93,17.4,05:45:00,2014-01-01
2014-01-01 06:00:00,65.581,54.006,15.149,16.6,06:00:00,2014-01-01
2014-01-01 06:15:00,65.498,55.034,14.389,16.24,06:15:00,2014-01-01
2014-01-01 06:30:00,65.714,55.509,13.937,15.56,06:30:00,2014-01-01
2014-01-01 06:45:00,65.708,54.459,13.943,15.8,06:45:00,2014-01-01
2014-01-01 07:00:00,65.046,54.682,14.12,16.16,07:00:00,2014-01-01
2014-01-01 07:15:00,66.095,55.053,13.798,16.08,07:15:00,2014-01-01
2014-01-01 07:30:00,65.666,56.497,13.687,15.84,07:30:00,2014-01-01
2014-01-01 07:45:00,66.49,54.689,13.666,15.88,07:45:00,2014-01-01
2014-01-01 08:00:00,67.572,53.794,13.405,15.84,08:00:00,2014-01-01
2014-01-01 08:15:00,65.253,54.172,13.425,15.8,08:15:00,2014-01-01
2014-01-01 08:30:00,65.22,56.949,13.314,15.56,08:30:00,2014-01-01
2014-01-01 08:45:00,65.167,55.69,13.386,15.36,08:45:00,2014-01-01
2014-01-01 09:00:00,62.31,54.453,11.384,13.6,09:00:00,2014-01-01
2014-01-01 09:15:00,63.023,54.198,11.011,13.2,09:15:00,2014-01-01
